Site Name,Country/Region,Receiver,Antenna,Radome,Satellite_System,Latitude,Longitude,Height (m),X (m),Y (m),Z (m),Calibration,Networks,Data_Center,IERS DOMES,Clock,Agencies,Last_Data
IQQE00CHL,CL,TRIMBLE NETR9,ASH700936D_M,SNOW,GPS,-20.27354167,-70.13171667,38.9,2034208,-5629172,-2196142,ROBOT,IGS,SIO,41708S002,INTERNAL,National Seismological Center of the U. of Chile,3
IRKJ00RUS,RU,JPS LEGACY,JPSREGANT_SD_E1,NONE,GPS+GLO,52.21901944,104.3161778,502.1,-968328.35,3794426.541,5018167.196,ROBOT,IGS20 / IGS08 / IGS,CDDIS,12313M002,EXTERNAL H-MASER,VNIIFTRI,4
IRKM00RUS,Russian Federation,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,GPS+GLO,52.21902409,104.3162403,502.317,-968332.3889,3794425.409,5018167.706,ROBOT,IGS14 Core / IGS / IGS14,CDDIS,12313M001,EXTERNAL H-MASER,RDAAC,
ISBA00IRQ,IQ,TRIMBLE NETR5,TRM57971.00,NONE,GPS+GLO,33.34141389,44.43840278,72.4,3808364.974,3734430.116,3485693.39,ROBOT,IGS20 / IGS,https://geodesy.noaa.gov/corsdata/,20308M001,INTERNAL,Iraq Ministry of Water Resource General Directorat,2
ISHI00JPN,JP,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+QZSS,36.20883333,140.2189556,155.83,-3959648.754,3296836.337,3747005.576,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,21791M001,EXTERNAL H-MASER,Geospatial Information Authority of Japan,2
ISPA00CHL,CL,ASHTECH UZ-12,ASH701945E_M,SCIT,GPS,-27.12498294,-109.34441,112.4948,-1881703.507,-5359979.772,-2890599.259,ROBOT,IGS08 Core / IGS20 / IGS14 Core / IGS08 / IGS / IGS14,JPL,41703M007,INTERNAL,Jet Propulsion Laboratory,
ISTA00TUR,Turkey,LEICA GR25,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,41.10444722,29.01933889,147.2,4208830.46,2334850.14,4171267.18,ROBOT,IGS20 / IGS08 / IGS / RTS / IGS Multi-GNSS,BKG,20807M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
IZMI00TUR,Turkey,TRIMBLE ALLOY,TRM115000.00,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,38.39480833,27.08182222,74.9,4456584.236,2278765.506,3939930.889,ROBOT,IGS / IGS Multi-GNSS,IGN,20817M001,INTERNAL,General Command of Mapping Turkey,2
JCTW00ZAF,ZA,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS,-33.95143333,18.46855,83.596,5023564.462,1677795.751,-3542025.865,ROBOT,IGS / IGS Multi-GNSS,JAXA,30305M001,INTERNAL,Japan Aerospace Exploration Agency,2
JDPR00IND,IN,TRIMBLE ALLOY,TWIVC6050,SCIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,26.20670556,73.023825,168.2,1671950.858,5476891.33,2799675.572,ROBOT,IGS / IGS Multi-GNSS,GA,22313M001,,ISTRAC,2
JFNG00CHN,CN,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,30.51556541,114.4910189,71.324,-2279828.829,5004706.548,3219777.468,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,21602M006,INTERNAL,Centre National d'Etudes Spatiales,2
JNAV00VNM,VN,TRIMBLE NETR9,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS,21.00458528,105.8439469,34.87,-1626346.47,5730605.79,2271881.48,ROBOT,IGS / IGS Multi-GNSS,JAXA,24301M001,INTERNAL,Japan Aerospace Exploration Agency,2
JOG200IDN,ID,JAVAD TRE_G3TH DELTA,JAV_RINGANT_G3T,NONE,GPS+GLO+GAL+QZSS,-7.763813889,110.3724639,174.4,-2200208.087,5924895.627,-855929.2334,CHAMBER,IGS / IGS Multi-GNSS / RTS,CDDIS,23109M002,INTERNAL,GeoForschungsZentrum,2
JOZ200POL,PL,TRIMBLE NETR9,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS,52.09783056,21.03234167,152.3,3664881,1409190,5009618,ROBOT,IGS08 / IGS / IGS Multi-GNSS / RTS,BKG,12204M002,INTERNAL,Warsaw University of Technology,2
JOZE00POL,PL,SEPT POLARX5,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,52.09727222,21.03153333,141.4,3664940.5,1409153.59,5009571.17,ROBOT,IGS08 / IGS20 / IGS / IGS14 / IGS Multi-GNSS,BEV,12204M001,INTERNAL,Warsaw University of Technology,2
JPLM00USA,US,SEPT POLARX5,AOAD/M_T,NONE,GPS+GLO+GAL+BDS,34.20481944,-118.173225,423.9843,-2493304.68,-4655215.103,3565497.592,ROBOT,IGS08 / IGS / IGS Multi-GNSS / RTS,JPL,40400M007,EXTERNAL RUBIDIUM,Jet Propulsion Laboratory,2
JPRE00ZAF,ZA,TRIMBLE NETR9,TRM59800.00,SCIS,GPS+GLO+GAL+BDS,-25.732025,28.28263333,1387.327,5064032.232,2724721.054,-2752950.721,ROBOT,IGS / IGS Multi-GNSS,JAXA,30325M001,INTERNAL,Japan Aerospace Exploration Agency,
KARR00AUS,AU,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-20.98142222,117.0971972,109.1,-2713833.263,5303935.11,-2269513.746,ROBOT,IGS08 / IGS08 Core / IGS20 / IGS / IGS14 / IGS Multi-GNSS / RTS,GA,50139M001,INTERNAL,Geoscience Australia,49
KAT100AUS,AU,SEPT POLARX5,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+IRNSS,-14.37599444,132.1532778,184.3,-4147413.817,4581462.59,-1573359.081,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,GA,59968M001,INTERNAL,Geoscience Australia,2
KERG00ATF,TF,TRIMBLE ALLOY,ASH701945E_M,SNOW,GPS+GLO+GAL+BDS+QZSS+SBAS,-49.35146694,70.25552388,73.009,1406337,3918161,-4816167,ROBOT,IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,IGN,91201M002,INTERNAL,Centre National d'Etudes Spatiales,2
KHAR00UKR,UA,NOV OEMV3,NOV702GG,NONE,GPS+GLO,50.00510278,36.23900833,201,3312984.369,2428203.401,4863307.795,ROBOT,IGS,BKG,12314M001,INTERNAL,Main Astronomical Observatory of Ukraine,
KIR000SWE,SE,SEPT POLARX5,JNSCR_C146-22-1,OSOD,GPS+GLO+GAL+BDS+QZSS+SBAS,67.87757222,21.06023333,498,2248123.504,865686.533,5886425.594,,IGS / IGS Multi-GNSS / RTS,BKG,10422M001,INTERNAL,Lantmateriet the Swedish mapping authority,2
KIR800SWE,SE,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+SBAS,67.87754167,21.06017778,498,2248127.371,865685.468,5886424.301,ROBOT,IGS Multi-GNSS / RTS / IGS,BKG,10422M002,INTERNAL,Lantmateriet the Swedish mapping authority,2
KIRI00KIR,KI,SEPT POLARX5,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,1.354580556,172.9228972,36.2,-6327822.492,785604.1018,149769.0463,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,GA,50305M001,INTERNAL,Geoscience Australia,2
KIRU00SWE,SE,SEPT POLARX5TR,SEPCHOKE_B3E6,SPKE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,67.85735,20.96844167,390.9,2251420.999,862817.095,5885476.564,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,CDDIS,10403M002,EXTERNAL CESIUM,ESA/ESOC,2
KIT300UZB,UZ,SEPT ASTERX4,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,39.13476667,66.88545,622.6,1944944.831,4556652.418,4004326.124,ROBOT,IGS08 / IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,CDDIS,12334M001,INTERNAL,GeoForschungsZentrum,2
KITG00UZB,UZ,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,39.1333864,66.88673816,620.631,1944879.726,4556783.77,4004205.937,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,12334M004,INTERNAL,Centre National d'Etudes Spatiales,2
KMNM00TWN,TW,TRIMBLE ALLOY,TPSCR3_GGD,CONE,GPS+GLO+GAL+BDS+QZSS+SBAS,24.46382222,118.3885778,49.1,-2761837.856,5110347.148,2625150.868,ROBOT,IGS20 / IGS / IGS Multi-GNSS,GA (ftp.ga.gov.au),23608M001,INTERNAL,National Land Surveying and Mapping Center,3
KOKB00USA,United States of America,SEPT POLARX5TR,ASH701945G_M,NONE,GPS+GLO+GAL+BDS+QZSS,22.12626378,-159.6649298,1167.5216,-5543838.361,-2054586.61,2387810.123,ROBOT,IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS,JPL,40424M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
KOKV00USA,United States of America,JAVAD TRE_G3TH DELTA,ASH701945G_M,NONE,GPS+GLO+BDS+QZSS,22.12626378,-159.6649298,1167.5216,-5543838.361,-2054586.61,2387810.123,ROBOT,IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,JPL,40424M004,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
KOS100NLD,NL,SEPT POLARX5E,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,52.17335556,5.818225,104.8,3899613.948,397361.592,5014738.666,ROBOT,IGS / IGS Multi-GNSS / RTS,BKG,13504M005,INTERNAL,Delft University of Technology,2
KOUC00NCL,NC,TRIMBLE NETR9,TRM57971.00,TZGD,GPS+GLO+GAL+BDS+QZSS,-20.55869722,164.2873333,84.17,-5751222.662,1617967.645,-2225744.218,ROBOT,IGS08 / IGS08 Core / IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,92727S001,INTERNAL,DEPARTMENT of LAND,3
KOUG00GUF,GF,SEPT POLARX5TR,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,5.098470868,-52.63975015,107.248,3855263,-5049731,563040,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,IGN,97301M402,EXTERNAL CESIUM,Centre National d'Etudes Spatiales,2
KOUR00GUF,GF,SEPT POLARX5TR,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS,5.2522,-52.806,-25.57,3839591.447,-5059567.538,579956.867,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,CDDIS,97301M210,EXTERNAL H-MASER,ESA/ESOC,2
KRGG00ATF,TF,TRIMBLE ALLOY,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,-49.35154301,70.25550593,72.9673,1406336.21,3918154.621,-4816172.845,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,IGN,91201M007,INTERNAL,Centre National d'Etudes Spatiales,2
KRS100TUR,Turkey,TRIMBLE NETR5,TRM55971.00,TZGD,GPS+GLO+SBAS,40.58845278,43.09344444,1811.7,3542999.668,3314720.171,4129002.589,ROBOT,IGS,IGN,20816M001,INTERNAL,General Command of Mapping Turkey,2
KSU100USA,US,SEPT POLARX5,TRM59800.99,SCIT,GPS+GLO+GAL+BDS,39.10075,-96.60948333,325.5905,-570504.689,-4923591.018,4001208.484,ROBOT,IGS20 / RTS / IGS / IGS Multi-GNSS,CDDIS,49240M001,INTERNAL,UNAVCO,2
KUJ200CAN,CA,SEPT POLARX5,AOAD/M_T_RFI_T,NONE,GPS+GLO+GAL,55.29000833,-77.73527222,8.6,773263.38,-3557025.2,5219841.77,ROBOT,IGS / IGS Multi-GNSS / RTS,NRCan,40154M002,INTERNAL,Natural Resources Canada,
KZN200RUS,Russian Federation,TRIMBLE ALLOY,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,55.79078333,49.11924444,94.6,2352345.7,2717466.1,5251458.5,ROBOT,IGS20 / IGS Multi-GNSS / IGS / RTS,BKG,12374M001,INTERNAL,Kazan Federal University,2
LAE100PNG,PG,ASHTECH UZ-12,ASH700936A_M,NONE,GPS,-6.6737,146.9932,140.35,-5312857.053,3451108.016,-736322.743,COPIED,IGS08 / IGS08 Core / IGS20 / IGS,CDDIS,51002M001,INTERNAL,Department of Surveying and Land Studies,6
LAMA00POL,PL,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS+SBAS,53.8924,20.66993333,186.7,3524523,1329693,5129846,ROBOT,IGS / IGS Multi-GNSS,BEV,12209M001,INTERNAL,University of Warmia and Mazury in Olsztyn,2
LAUT00FJI,FJ,SEPT POLARX5,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS,-17.60880556,177.4465833,89.7,-6075194.5,270924,-1917189.6,ROBOT,IGS20 / IGS14 Core / IGS / IGS14 / IGS Multi-GNSS / RTS,GA,50804M002,INTERNAL,Geoscience Australia,2
LBCH00USA,US,SEPT POLARX5,TWIVC6150,SCIS,GPS+GLO+GAL+SBAS,33.78776944,-118.2033444,-27.58,-2507798.798,-4676369.692,3526890.801,ROBOT,IGS / RTS,CDDIS,40482M001,INTERNAL,USGS,2
LCK300IND,IN,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,26.91217933,80.95563581,64.165,894676.3053,5620593.474,2869571.05,ROBOT,IGS Multi-GNSS / IGS,CDDIS+KASI,22305M004,EXTERNAL PASSIVE HYDROGEN MASER,ISTRAC,2
LCK400IND,IN,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,26.91214261,80.95561669,64.1821,894678.4718,5620595.008,2869567.43,ROBOT,IGS20 / IGS Multi-GNSS / IGS,CDDIS+KASI,22305M005,EXTERNAL Passive Hydrogen Maser,ISTRAC,2
LEIJ00DEU,DE,JAVAD TRE_3 DELTA,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,51.35398333,12.37410278,178.4,3898736.2,855345.5,4958372.6,ROBOT,IGS / RTS / IGS Multi-GNSS,BKG,14267M001,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,2
LHAZ00CHN,CN,LEICA GR25,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,29.65733056,91.10402222,3622,-106943.5,5549296.14,3139212.6,ROBOT,IGS08 / IGS08 Core / IGS20 / IGS / IGS14 / RTS / IGS Multi-GNSS,BKG,21613M002,INTERNAL,Bundesamt fuer Kartographie und Geodaesie,47
LICC00GBR,United Kingdom of Great Britain and Northern,CHC P5E,CHCC220GR2,CHCD,GPS+GLO+GAL+BDS+SBAS,51.49978889,-0.174838889,88.7,3978703.569,-12141.038,4968417.218,ROBOT,IGS / IGS Multi-GNSS / RTS,BKG,15201M001,INTERNAL,Imperial College London,2
LLAG00ESP,ES,SEPT POLARX5S,TRM57971.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,28.48166611,-16.32071778,622.82,5384906.53,-1576770.73,3023828.01,ROBOT,IGS Multi-GNSS / IGS,BKG,31302M003,INTERNAL,DLR German Space Operations Center,2
LMMF00MTQ,MQ,TRIMBLE ALLOY,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,14.59481667,-60.99616944,-27,2993387.952,-5399363.731,1596748.042,ROBOT,IGS14 / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,IGN,97205M001,INTERNAL,Institut National de l'Information Geographique et,2
LPAL00ESP,ES,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS,28.76395833,-17.89383889,2207,5326648,-1719828,3052056,ROBOT,IGS14 / IGS20 / IGS14 Core / IGS / RTS,BKG,81701M001,INTERNAL,Instituto Geografico Nacional,2
LPGS00ARG,AR,JAVAD TRE_3,JAV_RINGANT_G3T,NONE,GPS+GLO+GAL+BDS,-34.90674444,-57.9323,29.9,2780102.99,-4437418.915,-3629404.525,CHAMBER,IGS14 / IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,CDDIS,41510M001,INTERNAL,GeoForschungsZentrum,2
LROC00FRA,FR,LEICA GR25,ASH701945B_M,NONE,GPS+GLO+GAL+SBAS,46.15893889,-1.219319444,57.9,4424632.8,-94175.5,4577543.9,COPIED,IGS14 / IGS08 / IGS20 / IGS / IGS Multi-GNSS,IGN,10023M001,INTERNAL,Universite de la Rochelle,2
M0SE00ITA,IT,LEICA GR25,LEIAR25.R4,LEIT,GPS+GLO+GAL+BDS+SBAS,41.89311389,12.49325833,120.6,4642432.5,1028629.4,4236854.2,ROBOT,IGS20 / RTS / IGS Multi-GNSS / IGS,ASI,12772M001,EXTERNAL RUBIDIUM,University of Rome La Sapienza,2
MAC100AUS,AU,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+QZSS+IRNSS,-54.4995,158.9358,-6.7,-3464038.488,1334172.743,-5169224.423,ROBOT,IGS14 / IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,GA,50135M001,INTERNAL,Geoscience Australia,2
MAD200ESP,ES,ASHTECH Z-XII3T,AOAD/M_T,NONE,GPS,40.42916111,-4.249658333,829.5,4849202.399,-360328.9943,4114913.188,ROBOT,IGS,JPL,13407S012,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
MADR00ESP,ES,JAVAD TRE_G3TH DELTA,AOAD/M_T,NONE,GPS+GLO+GAL,40.42916111,-4.249658333,829.5,4849202.394,-360328.9929,4114913.186,ROBOT,IGS / RTS / IGS Multi-GNSS,JPL,13407S012,EXTERNAL H-MASER,Jet Propulsion Laboratory,2
MAG000RUS,Russian Federation,ASHTECH Z-XII3,ASH700936D_M,JPLA,GPS,59.5758,150.77,361.9266,-2825810.152,1581233.011,5477005.621,,IGS,,12354M001,INTERNAL,RDAAC,
MAJU00MHL,MH,SEPT POLARX4TR,JAVRINGANT_DM,NONE,GPS+GLO+GAL+BDS+QZSS,7.119136111,171.364525,33.9,-6257572.506,950332.3662,785215.1556,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,GA,51501M001,INTERNAL,Geoscience Australia,
MAL200KEN,KE,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+SBAS,-2.996,40.194,-20.4,4865385.694,4110717.189,-331137.637,ROBOT,IGS14 / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,CDDIS,33201M003,INTERNAL,ESA/ESOC,2
MANA00NIC,NI,TRIMBLE NETR9,TRM59800.99,NONE,GPS,12.14893889,-86.24899444,71,407981.838,-6222925.713,1333528.967,ROBOT,IGS08 / IGS,CDDIS,41201S001,INTERNAL,Instituto Nicaraguense de Estudios Territoriales,2
MAR600SWE,SE,SEPT POLARX5,JAVRINGANT_DM,OSOD,GPS+GLO+GAL+BDS+IRNSS+SBAS,60.59514167,17.25852222,75.4,2998189.713,931451.589,5533398.473,,IGS14 / IGS08 / IGS20 / IGS / IGS Multi-GNSS / RTS,BKG,10405M002,INTERNAL,Lantmateriet the Swedish mapping authority,2
MAR700SWE,SE,TRIMBLE ALLOY,LEIAR25.R3,LEIT,GPS+GLO+GAL+BDS+SBAS,60.59505278,17.25843889,74.3,2998198.758,931449.71,5533392.638,ROBOT,IGS Multi-GNSS / IGS / RTS,BKG,10405M003,INTERNAL,Lantmateriet the Swedish mapping authority,2
MARS00FRA,FR,LEICA GR50,TRM57971.00,NONE,GPS+GLO+GAL+BDS+SBAS,43.27876944,5.353783333,61.7,4630532.8,433946.1,4350142.6,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,10073M008,INTERNAL,Institut National de l'Information Geographique et,2
MAS100ESP,ES,SEPT POLARX5,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+SBAS,27.76373889,-15.63327778,197.2,5439192.263,-1522055.61,2953454.72,ROBOT,IGS14 / IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,CDDIS,31303M002,EXTERNAL CESIUM,ESA/ESOC,2
MAT100ITA,IT,LEICA GR30,LEIAR20,NONE,GPS+GLO+GAL+BDS+SBAS,40.64906111,16.70454444,534.5,4641951.507,1393053.602,4133280.821,ROBOT,IGS14 / IGS08 / IGS14 Core / IGS / IGS Multi-GNSS,CDDIS,12734M009,INTERNAL,Agenzia Spaziale Italiana,2
MATE00ITA,IT,LEICA GR30,LEIAR20,NONE,GPS+GLO+GAL+BDS+SBAS,40.64913056,16.70445833,535.6,4641949.709,1393045.298,4133287.333,ROBOT,IGS14 / IGS08 / IGS20 / IGS14 Core / IGS / RTS / IGS Multi-GNSS,ASI,12734M008,EXTERNAL H_MASER,Agenzia Spaziale Italiana,2
MATG00ITA,IT,LEICA GR10,LEIAR25,NONE,GPS+GLO+GAL+BDS+SBAS,40.64902778,16.70465278,537,4641953.035,1393063.547,4133279.589,ROBOT,IGS / IGS Multi-GNSS / RTS,ASI,12734M010,INTERNAL,Agenzia Spaziale Italiana,2
MAUI00USA,United States,TRIMBLE NETRS,ASH700936D_M,SNOW,GPS,20.7067,-156.257,3062,-5466069,-2404328,2242127,ROBOT,IGS14 / IGS08 / IGS20 / IGS14 Core / IGS,SIO,40445S008,INTERNAL,Pacific GPS Facility,
MAW100ATA,AQ,SEPT POLARX5,AOAD/M_T,AUST,GPS+GLO+GAL+BDS+QZSS+IRNSS,-67.6048,62.8707,59.2,1111287.138,2168911.297,-5874493.644,,IGS14 / IGS08 / IGS20 / IGS14 Core / IGS / RTS / IGS Multi-GNSS,GA,66004M001,INTERNAL,Geoscience Australia,2
MAYG00MYT,YT,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+IRNSS+SBAS,-12.78205318,45.25815194,-16.35,4379104.607,4418744.475,-1401897.943,ROBOT,IGS Multi-GNSS / IGS / RTS,IGN,90101M001,INTERNAL,Centre National d'Etudes Spatiales,2
MBAR00UGA,UG,JAVAD TRE_3 DELTA,ASH701945B_M,SCIS,GPS+GLO+GAL+BDS+IRNSS,-0.601469056,30.73787619,1337.6533,5482951.388,3260442.643,-66519.8489,COPIED,IGS14 / IGS08 / IGS08 Core / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS / RTS,JPL,33901M001,INTERNAL,Jet Propulsion Laboratory,2
MCHL00AUS,AU,TRIMBLE ALLOY,TRM59800.00,NONE,GPS+GLO+GAL+BDS+QZSS,-26.35890278,148.1449611,534.6,-4857858.931,3018464.37,-2814983.224,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,GA,59905M001,INTERNAL,Geoscience Australia,2
MCIL00JPN,JP,TRIMBLE ALLOY,TRM59800.80,SCIS,GPS+GLO+GAL+QZSS,24.29009444,153.9786611,35.66,-5227188.142,2551880.364,2607617.909,COPIED,IGS08 / IGS08 Core / IGS14 / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS,CDDIS,21789S001,EXTERNAL RUBIDIUM,Geospatial Information Authority of Japan,6
MCM400ATA,AQ,JAVAD TRE_G3TH DELTA,AOAD/M_T,JPLA,GPS+GLO+GAL+QZSS,-77.83834947,166.6693293,98.0222,-1311703.172,310814.982,-6213255.16,,IGS08 / IGS08 Core / IGS14 / IGS20 / IGS14 Core / IGS / IGS Multi-GNSS,JPL,66001M003,INTERNAL,Jet Propulsion Laboratory,2
MDO100USA,United States of America,SEPT POLARX5,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS,30.68051111,-104.0149933,2004.4761,-1329998.797,-5328393.357,3236504.141,ROBOT,IGS08 / IGS08 Core / IGS14 / IGS20 / IGS / IGS Multi-GNSS / RTS,JPL,40442M012,INTERNAL,Jet Propulsion Laboratory,2
MDVJ00RUS,Russian Federation,TPS NETG3,JPSREGANT_DD_E1,NONE,GPS+GLO,56.02149167,37.21450278,257.4,2845456.3,2160954.3,5265993.4,ROBOT,IGS08 / IGS14 / IGS20 / IGS14 Core / IGS,CDDIS,12309M005,EXTERNAL H-MASER,Institute of Metrology for Time and Space,2
MEDI00ITA,IT,LEICA GR10,LEIAR20,LEIM,GPS+GLO+GAL+BDS+SBAS,44.51995556,11.64681389,50,4461400.894,919593.443,4449504.669,ROBOT,IGS08 / IGS14 / IGS20 / IGS / IGS Multi-GNSS,ASI,12711M003,EXTERNAL H-MASER,Agenzia Spaziale Italiana,2
MELI00ESP,ES,LEICA GR10,LEIAR25.R4,LEIT,GPS+GLO+GAL,35.28121944,-2.951641667,93.5,5205630,-268410,3663434,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,BKG,19379M001,INTERNAL,Instituto Geografico Nacional,2
MERS00TUR,Turkey,LEICA GR50,LEIAR10,NONE,GPS+GLO+GAL+BDS+QZSS+SBAS,36.56638889,34.25585278,38.5,4239149.446,2886967.945,3778877.023,ROBOT,IGS / IGS Multi-GNSS,IGN,20814M001,INTERNAL,General Command of Mapping Turkey,2
MET300FIN,FI,JAVAD TRE_3 DELTA,JAVRINGANT_DM,SCIS,GPS+GLO+GAL+BDS+SBAS,60.21745556,24.3945,79.2,2892583.975,1311799.563,5512619.854,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,BKG,10503M010,INTERNAL,Finnish Geodetic Institute,2
METG00FIN,FI,SEPT POLARX5,TRM59800.00,SCIS,GPS+GLO+GAL+BDS+IRNSS+SBAS,60.24196667,24.384175,59.7,2890652.524,1310295.517,5513958.853,ROBOT,IGS / IGS Multi-GNSS / RTS,IGN,10503M002,INTERNAL,Centre National d'Etudes Spatiales+ Finnish Geodetic Institute,2
METS00FIN,FI,JAVAD TRE_3 DELTA,ASH700936C_M,NONE,GPS,60.21746944,24.39531667,94.6,2892570.999,1311843.28,5512634.011,ROBOT,IGS08 / IGS14 / IGS20 / IGS,BKG,10503S011,INTERNAL,Finnish Geodetic Institute,2
MFKG00ZAF,ZA,TRIMBLE ALLOY,ASH701941.B,SCIS,GPS+GLO,-25.80501389,25.53996944,1310.9,5185375.39,2477739.181,-2760201.127,ROBOT,IGS,ftp://igs.ign.fr/,30321M001,INTERNAL,National Geospatial Information,2
MGUE00ARG,AR,SEPT POLARX5TR,LEIAR25.R4,NONE,GPS+GLO+GAL+BDS+SBAS,-35.77735,-69.39792778,1554.15,1823327.909,-4850352.447,-3709085.536,ROBOT,IGS / IGS Multi-GNSS / RTS,CDDIS,41558M001,EXTERNAL H-MASER,ESA/ESOC,2
MIKL00UKR,UA,LEICA GR50,LEIAR20,LEIM,GPS+GLO+GAL+BDS+QZSS,46.97278889,31.97282778,94.7,3698554.628,2308675.267,4639770.434,ROBOT,IGS20 / IGS / IGS Multi-GNSS,BKG,12335M001,INTERNAL,Main Astronomical Observatory of Ukraine,2
MIZU00JPN,JP,SEPT POLARX5,SEPCHOKE_B3E6,NONE,GPS+GLO+GAL+BDS+QZSS+IRNSS+SBAS,39.13516944,141.1328278,117,-3857167.648,3108694.914,4004041.688,ROBOT,IGS20 / IGS / IGS Multi-GNSS / RTS,CDDIS,21702M002,INTERNAL,GeoForschungsZentrum,2
